Vehicle_Line,Derivative,Trim,Model_Year,Total_Price_GBP,Interior_Colour,Exterior_Colour,Feature_Codes
F-Pace,P400,R-Dynamic S,2021.5,70560,Glacier White,Balmoral Blue,"['CV016', 'SS013', 'CP003', 'IT007', 'SF010', 'LT019', 'CL009', 'IL004', 'CS009', 'AS009', 'IL007', 'CL010', 'CP010', 'EP010', 'LT012', 'LT001', 'CP002']"
Range Rover Evoque,P250,Dynamic HSE,2023,62520,Eclipse,Byron Blue,"['WS003', 'IL002', 'LT002', 'DA007', 'RF003', 'IT001', 'SF010', 'IT010', 'IT004', 'CL011', 'DA002', 'DA006']"
Range Rover,P460e PHEV SWB,SE,2024.5,134650,Dove,Kaikoura Stone,"['LT001', 'CV001', 'SF003', 'IT010', 'SF001', 'SF014', 'CV002', 'SF011', 'CV011', 'IT009', 'SF020']"
Range Rover Sport,D300,SVR,2024.5,199565,Acorn,Ostuni Pearl White,"['IT002', 'CL014', 'IT007', 'CP007', 'WS018', 'CS010', 'DA019', 'CP006', 'SS003', 'LT011', 'IL011', 'DA018']"
Discovery,D300,SE,2020,52410,Brogue,Spectral British Racing Green,"['CL008', 'SF003', 'EP001', 'DA002', 'SF011', 'SF006', 'CV010', 'CL010']"
Discovery Sport,P290,S,2023,33920,Reims Blue,Byron Blue,"['SF004', 'IT001', 'CL006', 'SF006', 'LT005', 'LT001', 'EP001', 'CV011']"
Range Rover Evoque,P200,S,2022.5,32614,Espresso,Hakuba Silver,"['LT005', 'CV011', 'WS001', 'SF007', 'IT007', 'SF002', 'IT001', 'SF006']"
Defender,P400 90,SE,2021.5,51776,Caraway,Seoul Pearl Silver,"['WS011', 'CV004', 'SF004', 'SF002', 'WS010', 'SF008', 'LT001', 'SF006', 'SF018', 'IT001', 'IT009']"
Range Rover Sport,P635 SVR,Dynamic SE,2021,200361,Acorn,Aruba,"['CL001', 'CV002', 'IT001', 'CV001', 'SF008', 'SF020', 'SF004', 'SF018', 'SF001']"
Discovery,D250,SE,2022.5,58499,Reims Blue,Eiger Grey,"['DA001', 'SF018', 'SF008', 'SF002', 'SF022', 'SF014', 'SF004', 'SF005', 'IT009', 'CL008', 'SF011', 'CL001']"
Range Rover Velar,P400,Dynamic HSE,2025,103552,Glacier White,Causeway Grey,"['CL008', 'WS008', 'CL003', 'CV006', 'LT003', 'CV005', 'SF005', 'RF002', 'IT001', 'DA007', 'DA005']"
Discovery,P300,SE,2022,59160,Acorn,Gondwana Stone,"['CL001', 'CV004', 'IT010', 'SF018', 'WS001', 'SF004', 'SF007', 'DA005', 'IT002']"
Discovery Sport,D180,SE,2023,40710,Reims Blue,Firenze Red,"['SF007', 'EP002', 'SF018', 'SF022', 'CL008', 'LT001', 'DA001', 'CL002', 'IT010']"
Discovery Sport,D200,S,2024,35332,Eclipse,Causeway Grey,"['SF010', 'SF020', 'CL001', 'SF008', 'DA001']"
Discovery Sport,P290,HSE Luxury,2022.5,60702,Light Oyster,Santorini Black,"['DA007', 'WS002', 'CV004', 'CL002', 'IT004', 'IT009', 'DA002', 'RF002', 'LT006', 'LT002']"
Discovery,P300,HSE Luxury,2025,106010,Light Oyster,Firenze Red,"['IT003', 'WS003', 'RF003', 'CV006', 'DA006', 'LT003', 'LT007', 'SF006', 'SF019', 'WS009', 'CL009']"
Range Rover,P550e PHEV LWB,SE,2025,167062,Copper,Bright White,"['CL010', 'DA005', 'IT009', 'CV004', 'CV001', 'SF022', 'SF018', 'SF011', 'LT001']"
Range Rover Velar,D240,Autobiography,2022,112562,Ebony,Spectral British Racing Green,"['DA009', 'EP007', 'IL010', 'AS006', 'IT010', 'AS009', 'RF004', 'CP004', 'EP011', 'CL005', 'DA014', 'DA002', 'CL013', 'CL002', 'IL009', 'DA020']"
Discovery,D300,HSE Luxury,2023,99908,Acorn,Sunset Gold Satin,"['DA006', 'LT002', 'IT011', 'RF002', 'IT003', 'IT005', 'DA001', 'EP003', 'DA003', 'WS003', 'DA002']"
Discovery Sport,D180,SE,2022,35594,Acorn,Fuji White,"['CV002', 'LT001', 'WS001', 'DA001', 'SF003', 'CL008', 'SF018', 'SF008', 'CV001', 'IT009', 'EP001']"
Discovery,P300,HSE Luxury,2022,94560,Perlino,Varesine Blue,"['IL002', 'CL008', 'LT002', 'DA002', 'RF002', 'WS009', 'SF010', 'CL011', 'CL012', 'DA007', 'IT005']"
F-Pace,D200,R-Dynamic S,2020,50730,Acorn,Sunset Gold Satin,"['WS008', 'SF023', 'IT021', 'CL018', 'SS015', 'RF004', 'AS001', 'IT017', 'EP009', 'EP013', 'WS013', 'SF003', 'CP008']"
Range Rover Sport,P550e PHEV,Dynamic S,2023.5,136345,Ivory,Varesine Blue,"['AS004', 'IT020', 'WS012', 'WS005', 'CS006', 'LT002', 'DA007', 'DA019', 'CP004', 'DA014', 'DA020', 'IL011', 'RF002', 'EP014', 'AS009', 'DA003', 'EP005']"
Range Rover Sport,P510,Autobiography,2023,184887,Cloud,Byron Blue,"['CP003', 'CV020', 'AS008', 'RF002', 'WS020', 'IT013', 'CL014', 'AS005', 'WS018', 'IT004', 'CS001', 'IT005', 'CV006', 'CP004', 'WS008', 'IL010', 'IL005', 'IT003']"
Discovery,D300,HSE Luxury,2020.5,83539,Cirrus,Pangea Green,"['SF011', 'IL001', 'WS003', 'SF005', 'IT004', 'RF003', 'CV010', 'LT003', 'DA006', 'IL002']"
Range Rover Evoque,D180,Dynamic HSE,2022,60196,Cirrus,Cosmos Black,"['CV006', 'CL002', 'IT005', 'LT002', 'SF006', 'CV007', 'EP001', 'WS003', 'RF002', 'WS009', 'IL005', 'IT002']"
F-Pace,P575 SVR,R-Dynamic S,2024.5,160002,Nimbus,Varesine Blue,"['LT001', 'WS002', 'EP003', 'WS009', 'WS012', 'CL003', 'DA002', 'DA006', 'CP003', 'DA001', 'DA015', 'LT004', 'IL004', 'IL005', 'IL010', 'CS014', 'SS007']"
Range Rover Evoque,D180,S,2022,30096,Perlino,Pangea Green,"['SF022', 'SF006', 'SF002', 'IT001', 'SF010', 'IT010']"
Range Rover Velar,D240,S,2021,45582,Ivory,Fuji White,"['WS001', 'IT007', 'SF007', 'IT010', 'SF010']"
Range Rover Velar,P300,S,2023,56300,Moonbeam,Pangea Green,"['CV004', 'SF008', 'CV001', 'CV002', 'SF009']"
Discovery Sport,D200,HSE Luxury,2025,70254,Vintage Tan,Lantau Bronze,"['IL005', 'EP002', 'CL001', 'DA002', 'LT002', 'RF002', 'DA007', 'DA001', 'CL012', 'IT004']"
Defender,P635 Octa,S,2022,87736,Copper,Indus Silver,"['CV002', 'CL008', 'SF008', 'WS010', 'CL001', 'SF009', 'SF001']"
Range Rover Evoque,D180,Autobiography,2024,74308,Light Oyster,Carpathian Grey,"['CV014', 'CV006', 'CV011', 'IL012', 'CP001', 'AS005', 'CL014', 'IL001', 'LT011', 'IT023', 'DA017', 'IT017', 'DA006', 'LT004']"
Range Rover Evoque,P200,S,2024,36164,Robusta,Aruba,"['CV011', 'SF004', 'CV001', 'WS001', 'EP001', 'IT009', 'LT001']"
Defender,P400 90,HSE,2022,74840,Caraway,Aruba,"['SF005', 'IT011', 'CV006', 'IT004', 'RF002', 'LT001', 'DA001', 'IT001', 'SF016', 'IL002', 'CL012']"
Range Rover Evoque,P200,Autobiography,2024,72708,Light Oyster,Corris Grey,"['LT004', 'SS003', 'DA013', 'IT011', 'CS015', 'IL004', 'RF004', 'CV007', 'LT003', 'IL007', 'CP004', 'LT009', 'LT016', 'LT017', 'IT013']"
Range Rover,P550e PHEV LWB,SV,2022.5,279837,Espresso,Aruba,"['IT012', 'CS011', 'CS001', 'DA020', 'CP002', 'IL008', 'WS012', 'DA011', 'RF002', 'AS010', 'CV011', 'IL009']"
Range Rover Sport,P530,SVR,2023.5,218140,Ebony,Portofino Blue,"['WS012', 'CV009', 'CP005', 'DA012', 'CV007', 'CV016', 'CL014', 'LT011', 'RF003', 'LT009', 'LT019', 'SS003', 'IT014', 'IT013', 'CV006', 'IT024', 'DA020']"
Range Rover Velar,P300,S,2023.5,57020,Robusta,Lantau Bronze,"['SF005', 'WS001', 'SF007', 'EP001', 'SF004', 'CV001', 'SF020', 'SF009']"
Range Rover Evoque,D180,Dynamic HSE,2023.5,60286,Acorn,Eiger Grey,"['CL001', 'IT005', 'RF002', 'IL005', 'IL002', 'CL011', 'LT007', 'IT004', 'LT001', 'CV009', 'SF004']"
Discovery Sport,P290,S,2020.5,26492,Vintage Tan,Aruba,"['SF006', 'SF003', 'CL006', 'SF010', 'SF020', 'SF002']"
Range Rover Evoque,D200,Autobiography,2024.5,72296,Brogue,Indus Silver,"['WS015', 'IT018', 'SS014', 'IL007', 'LT013', 'CL019', 'LT002', 'EP015', 'IT003', 'LT014', 'RF001', 'WS009', 'DA012']"
Discovery,D250,HSE Luxury,2022,88416,Espresso,Carpathian Grey,"['IL002', 'IL005', 'LT003', 'SF008', 'WS003', 'WS009', 'CV006', 'SF020', 'DA002']"
F-Pace,P400,R-Dynamic S,2021.5,80460,Caraway,Seoul Pearl Silver,"['IT020', 'SF025', 'IT003', 'SS015', 'DA018', 'CP001', 'CL003', 'CL011', 'DA002', 'CP002', 'IL009', 'SS008', 'EP012', 'WS003', 'CL016', 'WS016', 'DA013', 'DA004']"
F-Pace,P250,R-Dynamic SE,2020,44375,Light Oyster,Santorini Black,"['SF001', 'SF003', 'SF008', 'SF009', 'SF006', 'CV011', 'DA001', 'WS002']"
Defender,P400 90,S,2023.5,47852,Caraway,Varesine Blue,"['SF009', 'IT007', 'SF005', 'WS001', 'SF010', 'CL006', 'EP001', 'IT010']"
Discovery Sport,D180,HSE Luxury,2024,68722,Ebony,Fuji White,"['SF016', 'DA006', 'SF014', 'EP003', 'LT002', 'IL005', 'DA001', 'CV005', 'RF003', 'WS002', 'SF001', 'WS009', 'SF010', 'SF022', 'DA002']"
Range Rover Evoque,D200,S,2020,26220,Robusta,Bright White,"['SF004', 'SF009', 'SF007', 'IT009', 'SF020', 'CV002', 'SF002']"
Range Rover Evoque,P200,Dynamic HSE,2023,60040,Cloud,Bright White,"['CV004', 'LT003', 'SF003', 'IL002', 'WS003', 'IT004', 'DA007', 'RF002', 'IT002', 'SF017', 'IT010', 'DA003']"
Discovery,P360,SE,2021.5,59631,Ivory,Pangea Green,"['SF011', 'CL001', 'CL010', 'SF002', 'CV007', 'IT010', 'CL008', 'WS002', 'CV002', 'SF003']"
F-Pace,D200,R-Dynamic HSE,2024,81711,Siena Tan,Eiger Grey,"['WS003', 'DA007', 'CL012', 'IT005', 'CV009', 'IT003', 'SF007', 'SF020', 'LT003', 'IL002']"
Discovery,P300,S,2021.5,48350,Perlino,Pangea Green,"['DA005', 'SF005', 'SF001', 'SF003', 'IT001', 'IT010']"
Discovery Sport,D200,S,2024,34732,Cirrus,Firenze Red,"['SF010', 'SF008', 'CL006', 'SF009', 'SF003', 'CL008', 'CV002']"
Discovery,P360,SE,2022.5,61151,Robusta,Firenze Red,"['SF008', 'DA005', 'IT010', 'CL010', 'SF004', 'SF003', 'SF005', 'SF002', 'LT006', 'SF011']"
Range Rover Evoque,D200,S,2025,38686,Dove,Hakuba Silver,"['WS001', 'CV002', 'SF003', 'SF010', 'SF005', 'EP001', 'DA001']"
Discovery,D300,S,2021,47252,Espresso,Varesine Blue,"['CL001', 'IT001', 'SF009', 'LT005', 'SF002', 'SF006']"
Discovery Sport,P250,HSE Luxury,2022.5,63646,Dove,Indus Silver,"['DA006', 'DA002', 'IL001', 'WS001', 'LT006', 'LT003', 'DA003', 'RF002', 'CL011', 'SF002', 'DA007', 'SF019']"
Discovery Sport,P250,S,2021,28794,Titan,Indus Silver,"['IT001', 'SF003', 'SF005', 'DA001', 'CV001']"
Range Rover Velar,D300,Autobiography,2025,124697,Siena Tan,Portofino Blue,"['WS020', 'CS011', 'CL016', 'LT011', 'CP006', 'CS009', 'CP003', 'AS009', 'CL003', 'IT005', 'IT008', 'SS004']"
Range Rover,P550e PHEV LWB,SE,2024.5,160034,Nimbus,Lantau Bronze,"['SF011', 'CV011', 'SF018', 'SF010', 'SF020', 'CL001', 'SF003', 'IT009', 'SF008', 'SF009']"
F-Pace,P575 SVR,R-Dynamic HSE,2022,167956,Caraway,Balmoral Blue,"['DA002', 'DA006', 'SF018', 'WS008', 'EP001', 'CL008', 'EP003', 'IL001', 'CL002', 'IL005', 'CV007', 'WS003', 'RF003', 'CV010']"
Discovery Sport,D200,SE,2024,42842,Titan,Portofino Blue,"['SF011', 'SF022', 'CV004', 'SF014', 'SF018', 'SF005', 'SF004', 'EP001', 'CL010', 'CL001', 'IT009']"
Range Rover Velar,P250,Autobiography,2024.5,110870,Siena Tan,Seoul Pearl Silver,"['CP004', 'LT014', 'IL010', 'CS007', 'CP008', 'EP004', 'CV004', 'EP013', 'SS008', 'SS013', 'RF003', 'IT019', 'LT007']"
Discovery Sport,D200,HSE,2023.5,61426,Espresso,Aruba,"['IT003', 'CV009', 'RF003', 'IT005', 'DA005', 'EP002', 'IT011', 'CV004', 'CL002', 'SF005', 'WS003', 'IL005']"
Discovery,D300,HSE,2023.5,88051,Robusta,Balmoral Blue,"['LT006', 'LT002', 'IT011', 'CL003', 'CV005', 'SF015', 'DA002', 'DA006', 'SF001', 'CV007', 'EP001', 'LT007', 'CL012']"
Discovery,P300,HSE,2022,74810,Navy,Firenze Red,"['IL001', 'SF009', 'LT001', 'SF005', 'SF007', 'SF012', 'CV007', 'IT001', 'RF003', 'CV004', 'WS003']"
Discovery Sport,D180,HSE,2021,51624,Cloud,Aruba,"['CL009', 'CV007', 'CL003', 'DA005', 'CV004', 'IT005', 'WS008', 'IT002', 'DA003', 'SF017', 'CL011']"
Range Rover,P550e PHEV LWB,HSE,2024.5,210521,Espresso,Narvik Black,"['WS002', 'CV005', 'EP002', 'CL011', 'DA002', 'IT004', 'WS008', 'IT002', 'CL002', 'CV006', 'IT011', 'IT003', 'LT003']"
Range Rover Sport,D300,Dynamic S,2024.5,120385,Robusta,Portofino Blue,"['CL014', 'WS008', 'CP007', 'IL006', 'DA004', 'IL002', 'CL001', 'CP002', 'IL003', 'LT018', 'IT020', 'CP005', 'LT010']"
Range Rover Velar,D300,S,2023.5,60026,Ivory,Byron Blue,"['LT005', 'CL001', 'SF020', 'IT010', 'SF001', 'SF006', 'SF008']"
Defender,P400 130,Octa,2022.5,191334,Glacier White,Fuji White,"['EP009', 'CP009', 'AS003', 'DA018', 'IL012', 'DA001', 'WS005', 'SS007', 'EP015', 'IT017', 'IT015', 'WS009', 'SF002', 'RF004', 'AS007']"
Range Rover Velar,D300,Dynamic SE,2022.5,66211,Cloud,Bright White,"['SF022', 'CV001', 'SF008', 'SF002', 'LT006', 'SF006', 'CL010', 'IT009', 'SF009', 'LT001', 'SF003', 'SF011']"
Discovery,P360,HSE Luxury,2024,103749,Copper,Narvik Black,"['CV001', 'WS008', 'IT005', 'SF012', 'LT002', 'CL001', 'CV004', 'IT003', 'IL002', 'SF011', 'IT004', 'IT011']"
Discovery Sport,P290,HSE,2024.5,67322,Espresso,Pangea Green,"['LT002', 'EP002', 'CL009', 'DA001', 'CL002', 'CV005', 'WS009', 'DA003', 'IL005', 'IT005', 'DA002']"
Range Rover Velar,P300,Dynamic SE,2024.5,73230,Cirrus,Silicon Silver,"['SF005', 'SF003', 'SF008', 'SF011', 'CV002', 'CL009', 'SF006', 'IT010', 'CV001', 'EP001', 'IT009', 'SF007']"
Range Rover Velar,D300,Dynamic SE,2024.5,74778,Dove,Bright White,"['SF008', 'SF018', 'IT009', 'SF022', 'CV004', 'SF002', 'DA001', 'SF009']"
Range Rover,P550e PHEV LWB,HSE,2024,195631,Ebony,Ostuni Pearl White,"['CV005', 'CL012', 'SF015', 'DA006', 'EP002', 'CL003', 'IT004', 'IT011', 'IL001', 'CV001']"
Defender,D300 110,Octa,2020.5,144980,Glacier White,Aruba,"['DA005', 'IT020', 'AS008', 'EP004', 'SS004', 'IL005', 'CV010', 'LT001', 'CL005', 'CL009', 'IL006', 'EP014', 'CP007', 'WS003']"
Range Rover Velar,P250,Dynamic HSE,2021,69892,Brogue,Balmoral Blue,"['DA002', 'DA001', 'DA005', 'IT004', 'LT006', 'SF017', 'SF019', 'IL001', 'EP001', 'EP002']"
F-Pace,P575 SVR,R-Dynamic S,2024.5,168252,Titan,Byron Blue,"['CV020', 'IL002', 'IT020', 'AS006', 'CP010', 'LT016', 'SF010', 'CV004', 'RF004', 'IL010', 'SS010', 'CP002', 'LT004', 'AS009', 'CP004']"
F-Pace,P300,R-Dynamic SE,2023.5,58840,Espresso,Cosmos Black,"['SF003', 'SF006', 'SF022', 'EP002', 'LT006', 'SF005', 'CL001', 'IT009', 'SF020', 'SF002', 'SF010', 'SF008']"
F-Pace,P300,R-Dynamic S,2020,69250,Moonbeam,Lantau Bronze,"['IL004', 'SS010', 'DA001', 'EP007', 'EP014', 'IT013', 'DA015', 'CP004', 'WS009', 'DA018', 'SS005', 'CP003', 'CL016', 'CL002', 'EP013', 'IT022', 'AS006']"
Range Rover Velar,P300,Dynamic HSE,2021,78209,Eclipse,Indus Silver,"['IL002', 'DA007', 'SF015', 'DA006', 'CV006', 'SF008', 'IT009', 'RF002', 'LT001', 'CL008', 'CL003', 'SF011']"
Range Rover Velar,P250,Dynamic SE,2024,69742,Light Oyster,Silicon Silver,"['IT009', 'IT004', 'SF022', 'LT001', 'SF011', 'CV011', 'SF005', 'SF014', 'WS001', 'CL010', 'SF006', 'SF004']"
Discovery Sport,D180,S,2020,25100,Caraway,Byron Blue,"['SF002', 'SF005', 'SF022', 'WS001', 'CL001', 'CV002', 'SF003']"
Discovery,P300,HSE Luxury,2021,85040,Copper,Spectral British Racing Green,"['CL008', 'LT001', 'CV005', 'IL005', 'IL001', 'SF001', 'CL002', 'CV009', 'IL002', 'WS009', 'CL003']"
F-Pace,P300,R-Dynamic S,2023.5,73660,Dove,Rossello Red,"['DA016', 'AS009', 'CP002', 'IT008', 'CL019', 'CL018', 'CL004', 'EP007', 'IT006', 'IT016', 'DA020', 'SF012', 'EP014']"
Range Rover,P530 LWB,SV,2024,296532,Nimbus,Portofino Blue,"['CV015', 'SS009', 'DA007', 'LT003', 'CV004', 'DA009', 'CV014', 'CP008', 'CP001', 'CL018', 'CP004', 'DA018', 'EP008', 'WS013', 'WS010']"
Discovery,D300,S,2024,58022,Light Oyster,Champagne Gold,"['SF002', 'CV001', 'LT001', 'SF009', 'IT009', 'IT001']"
Range Rover Sport,P400,Dynamic SE,2021.5,86337,Dove,Hakuba Silver,"['SF010', 'DA001', 'SF020', 'IT010', 'SF022', 'IT009', 'SF009', 'WS001', 'SF008', 'SF004', 'CL010']"
Range Rover Sport,P550e PHEV,Autobiography,2024,202225,Copper,Pangea Green,"['AS008', 'IL007', 'DA014', 'DA015', 'EP010', 'EP013', 'EP005', 'CP009', 'RF003', 'IT002', 'IT006', 'IL004', 'LT014', 'LT002', 'IL003']"
Discovery Sport,D180,SE,2022,35314,Espresso,Fuji White,"['SF003', 'SF018', 'SF008', 'SF022', 'WS001', 'CV010', 'IT001', 'CL001', 'SF014', 'LT001']"
Range Rover Evoque,P250,Dynamic SE,2022,40612,Glacier White,Causeway Grey,"['WS001', 'CL010', 'SF008', 'CL001', 'SF003', 'CV002', 'CL008', 'CV011', 'DA005', 'IL001']"
F-Pace,D200,SVR,2024,127348,Copper,Spectral British Racing Green,"['CS009', 'WS002', 'IL010', 'AS006', 'CL002', 'CL019', 'EP015', 'CL004', 'AS009', 'WS014', 'IT020', 'DA011', 'DA006', 'CL012', 'IL006', 'LT011', 'DA012']"
Range Rover Evoque,D200,Autobiography,2024,85500,Ivory,Aruba,"['CL005', 'RF004', 'CV020', 'DA015', 'DA012', 'CL016', 'CP004', 'CV017', 'LT018', 'EP015', 'IT011', 'IL002', 'CV018', 'IL003', 'EP007', 'IL006', 'DA001', 'AS004']"
Discovery,P360,SE,2024.5,69233,Navy,Corris Grey,"['SF003', 'CL009', 'CL010', 'WS001', 'SF008', 'EP001', 'CV001', 'IT001', 'SF020']"
Defender,P300 90,HSE,2024,86122,Flame Red,Causeway Grey,"['EP001', 'IL002', 'CL002', 'LT003', 'IT004', 'IL001', 'EP008', 'DA005', 'CL008', 'WS003', 'RF003']"
Range Rover Evoque,P250,S,2023.5,36178,Moonbeam,Seoul Pearl Silver,"['IT009', 'CV001', 'SF007', 'IT010', 'LT001', 'SF020', 'CV002', 'SF003']"
F-Pace,D200,R-Dynamic S,2021,66058,Light Oyster,Ostuni Pearl White,"['IL001', 'SS010', 'CL008', 'LT004', 'LT003', 'CV019', 'SS003', 'EP010', 'CS003', 'CP002', 'IT012', 'CV005', 'CP004']"
F-Pace,P575 SVR,R-Dynamic S,2022.5,149562,Navy,Indus Silver,"['WS017', 'CP002', 'WS004', 'DA011', 'LT003', 'DA014', 'AS006', 'CV006', 'IL009', 'WS008', 'LT008', 'CS006', 'CS012', 'CS009', 'CL010', 'EP014']"
Range Rover Sport,P510,Dynamic S,2022,112719,Flame Red,Causeway Grey,"['SS011', 'CL004', 'CL013', 'IT012', 'CV006', 'SF025', 'RF003', 'IL010', 'CP005', 'CL016', 'DA016', 'AS005', 'LT014']"
Range Rover Sport,P400,Dynamic S,2022,102290,Eclipse,Aruba,"['RF001', 'IT020', 'WS005', 'IT012', 'CP006', 'CL019', 'CL018', 'SF008', 'CV007', 'CP007', 'IL005', 'WS014']"
Defender,P400 130,SE,2025,81676,Navy,Ostuni Pearl White,"['IT010', 'SF002', 'SF014', 'CV002', 'CL009', 'LT006', 'SF004', 'WS002', 'SF008', 'IT001']"
Discovery,P360,HSE Luxury,2022.5,95653,Reims Blue,Kaikoura Stone,"['IL005', 'DA003', 'CV005', 'IT008', 'SF019', 'RF003', 'IT005', 'SF017', 'DA005', 'IT010', 'WS002', 'LT001', 'CL009', 'CV007']"
Defender,P400 90,SE,2024.5,65197,Acorn,Eiger Grey,"['WS010', 'CL001', 'SF007', 'CV001', 'CL009', 'SF020', 'WS002', 'SF022', 'DA005', 'CV010']"
Range Rover Velar,D300,Dynamic HSE,2023.5,95168,Cirrus,Silicon Silver,"['CV009', 'DA007', 'CL012', 'LT003', 'WS009', 'IL001', 'IL005', 'CV007', 'SF001', 'DA006']"
Range Rover Sport,P510,SVR,2024.5,224057,Caraway,Cosmos Black,"['LT008', 'WS018', 'DA014', 'IT012', 'IT022', 'CL004', 'EP006', 'CL009', 'CP002', 'CV002', 'WS005', 'CL016', 'CL008', 'RF003']"
Defender,P500 110,Octa,2023,193833,Dove,Balmoral Blue,"['CV007', 'AS005', 'CV005', 'CS008', 'CL014', 'AS008', 'IL007', 'IT016', 'IT024', 'SS008', 'CL020', 'EP014', 'CV019', 'IL005', 'RF002', 'IT002', 'SS014']"
Range Rover Velar,D240,Dynamic HSE,2023.5,92018,Cloud,Carpathian Grey,"['CL012', 'SF012', 'DA007', 'RF003', 'CV004', 'DA002', 'IL002', 'SF011', 'SF002', 'IT004', 'WS003', 'CL010']"
Defender,D300 130,HSE,2023,99720,Acorn,Gondwana Stone,"['WS008', 'RF003', 'DA002', 'LT001', 'EP007', 'WS002', 'DA006', 'IT003', 'LT007', 'SF004', 'IT002', 'WS009', 'IT004']"
Range Rover Velar,D240,Dynamic SE,2021.5,58760,Ivory,Lantau Bronze,"['LT001', 'SF020', 'CV002', 'SF022', 'CV010', 'SF010', 'IT001', 'SF014', 'DA005', 'CL008', 'WS002', 'SF007']"
Range Rover Velar,D240,S,2024,57652,Ivory,Portofino Blue,"['IT009', 'SF008', 'DA001', 'SF002', 'CV011', 'IT007']"
Defender,D240 90,Octa,2022,139909,Robusta,Sedona Red,"['IT004', 'IL004', 'CS010', 'WS004', 'CP007', 'IT009', 'WS015', 'IL002', 'LT019', 'AS008', 'IT006', 'IT018', 'LT004', 'IL007']"
F-Pace,D200,R-Dynamic S,2020,59780,Ivory,Fuji White,"['AS008', 'CL009', 'CS009', 'SS013', 'IT020', 'LT015', 'WS005', 'CL013', 'SS010', 'SF016', 'CP002', 'IT011', 'CL003', 'AS003']"
Range Rover,P615 SV,SV,2024,395871,Moonbeam,Silicon Silver,"['IL003', 'CV017', 'IL010', 'EP010', 'EP005', 'DA013', 'CV013', 'WS014', 'AS007', 'SF023', 'CV001', 'IT014', 'DA004', 'WS013']"
Range Rover Sport,D300,SVR,2021.5,171805,Titan,Silicon Silver,"['CL013', 'RF004', 'LT017', 'SS014', 'CL002', 'AS006', 'CP003', 'IT020', 'CP001', 'LT007', 'LT005', 'CV014', 'IT012', 'WS009']"
Discovery Sport,D200,HSE,2025,73092,Glacier White,Byron Blue,"['CL003', 'DA003', 'IT005', 'CL002', 'IT011', 'IT004', 'LT002', 'IT010', 'CV005', 'RF002', 'DA006', 'SF019', 'IT002', 'WS003', 'CL012']"
Range Rover Velar,P250,Dynamic SE,2025,73448,Moonbeam,Fuji White,"['SF011', 'CV011', 'CL001', 'EP001', 'SF004', 'LT001', 'SF001', 'SF014', 'SF018', 'LT006']"
Range Rover Sport,P440,Dynamic HSE,2025,147980,Ivory,Narvik Black,"['IT004', 'CL001', 'IL002', 'DA002', 'CV005', 'DA007', 'IT003', 'SF017', 'LT003', 'IL005']"
F-Pace,P575 SVR,R-Dynamic S,2022.5,147792,Vintage Tan,Kaikoura Stone,"['CP006', 'CP009', 'CL013', 'AS010', 'IL007', 'CV017', 'LT002', 'IL009', 'WS007', 'IT015', 'SF009', 'DA006', 'IT012', 'AS005', 'CV019', 'IT014', 'WS017']"
Range Rover,P530 LWB,SE,2020,111505,Titan,Firenze Red,"['CL010', 'SF006', 'IT010', 'SF007', 'CV011', 'CV002', 'SF005', 'LT006', 'IT001', 'SF022', 'CL009', 'EP001']"
Defender,P400 110,S,2025,58403,Moonbeam,Byron Blue,"['CL001', 'SF003', 'SF022', 'WS001', 'LT005', 'IT010', 'CV001']"
F-Pace,D200,R-Dynamic S,2023,76998,Dove,Sunset Gold Satin,"['CV006', 'IT004', 'SF001', 'IL009', 'IL006', 'CP001', 'SF015', 'CP002', 'AS006', 'DA018', 'IT013', 'CS014', 'IT020', 'CL018']"
Range Rover Sport,P635 SVR,Dynamic SE,2025,265933,Dove,Rossello Red,"['SF020', 'IT004', 'CV002', 'IL001', 'IT010', 'SF007', 'CV010', 'IT001', 'CV001', 'SF004']"
Range Rover Evoque,P250,Dynamic SE,2025,45542,Glacier White,Narvik Black,"['SF009', 'SF008', 'CL009', 'IT010', 'IT009', 'SF002', 'SF014', 'CL010', 'CV010']"
Discovery,D250,HSE Luxury,2024.5,103728,Acorn,Kaikoura Stone,"['LT007', 'CL010', 'SF001', 'EP003', 'DA003', 'CL002', 'SF017', 'RF002', 'LT002', 'IT005', 'WS009', 'DA006']"
Range Rover Velar,D240,S,2022,48938,Brogue,Aruba,"['SF007', 'SF002', 'LT005', 'SF006', 'SF010', 'SF004', 'IT010', 'CV002']"
Defender,D300 90,HSE,2022.5,77670,Dove,Sedona Red,"['DA002', 'SF007', 'CL001', 'DA006', 'EP007', 'EP003', 'WS008', 'EP002', 'IT004', 'CL012', 'WS003']"
Range Rover Evoque,D200,Autobiography,2024.5,72896,Robusta,Varesine Blue,"['DA019', 'IL005', 'CP005', 'AS006', 'CL016', 'AS008', 'SS010', 'CV014', 'DA014', 'SF006', 'CV003', 'CL011', 'IL003']"
Range Rover,D300 SWB,SE,2022,94998,Brogue,Seoul Pearl Silver,"['SF020', 'IT001', 'SF014', 'SF010', 'CV010', 'CV001', 'SF022', 'CV011']"
Defender,P400 110,S,2021.5,46182,Nimbus,Sunset Gold Satin,"['SF005', 'SF003', 'CV002', 'WS011', 'CL008', 'SF008', 'WS001']"
